NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;QE_I04;QE_I05;QE_I06;QE_I07;QE_I08;QE_I09;QE_I10;QE_I11;QE_I12;QE_I13;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO;QE_I14;QE_I15;QE_I16;QE_I17;QE_I18;QE_I19;QE_I20;QE_I21;QE_I22;QE_I23;NU_ITEM_OFG;NU_ITEM_OFG_Z;NU_ITEM_OFG_X;NU_ITEM_OFG_N;NU_ITEM_OCE;NU_ITEM_OCE_Z;NU_ITEM_OCE_X;NU_ITEM_OCE_N;DS_VT_GAB_OFG_FIN;DS_VT_GAB_OCE_FIN;DS_VT_ESC_OFG;DS_VT_ACE_OFG;DS_VT_ESC_OCE;DS_VT_ACE_OCE;TP_PRES;TP_PR_GER;TP_PR_OB_FG;TP_PR_DI_FG;TP_PR_OB_CE;TP_PR_DI_CE;TP_SFG_D1;TP_SCE_D1;NT_GER;NT_FG;NT_OBJ_FG;NT_DIS_FG;NT_FG_D1;NT_FG_D1_PT;NT_FG_D1_CT;NT_CE;NT_OBJ_CE;NT_DIS_CE;NT_CE_D1;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9;QE_I24;QE_I25;QE_I26;QE_I27;QE_I28;QE_I29;QE_I30;QE_I31;QE_I32;QE_I33;QE_I34;QE_I35;QE_I36;QE_I37;QE_I38;QE_I39;QE_I40;QE_I41;QE_I42;QE_I43;QE_I44;QE_I45;QE_I46;QE_I47;QE_I48;QE_I49;QE_I50;QE_I51;QE_I52;QE_I53;QE_I54;QE_I55;QE_I56;QE_I57;QE_I58;QE_I59;QE_I60;QE_I61;QE_I62;QE_I63;QE_I64;QE_I65;QE_I66;QE_I67;QE_I68;TP_SEXO;NU_IDADE;QE_I01;QE_I02;QE_I03
2023;872;10;8;10028;6411;1;4106902;41;4;;;;;;;;;;;1991;2019;4;;;;;;;;;;;9;0;0;0;29;0;5;0;DDBAECABE;BCADECE999BAEAD9ECABECBD9ECCA;;;;;222;222.0;222.0;222.0;222.0;222.0;222.0;222.0;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;21;;;
2023;872;10;8;10028;6411;1;4106902;41;4;;;;;;;;;;;1991;2020;4;;;;;;;;;;;9;0;0;0;29;0;8;0;DDBAECABE;9E9DA9C9DCCDDBAA9B9DBD9E9EEDC;;;;;222;222.0;222.0;222.0;222.0;222.0;222.0;222.0;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;21;;;
2023;872;10;8;10028;6411;1;4106902;41;4;;;;;;;;;;;1991;2019;4;;;;;;;;;;;9;0;0;0;29;0;1;0;DDBAECABE;CEBECAD9AAABCCDCDDADECDBCCBEB;;;;;222;222.0;222.0;222.0;222.0;222.0;222.0;222.0;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;21;;;
2023;872;10;8;10028;6411;1;4106902;41;4;;;;;;;;;;;1991;2022;4;;;;;;;;;;;9;0;0;0;29;0;4;0;DDBAECABE;BAACCACBDEEBC99DCCAECDDAE9DB9;;;;;222;222.0;222.0;222.0;222.0;222.0;222.0;222.0;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;21;;;
2023;872;10;8;10028;6411;1;4106902;41;4;;;;;;;;;;;1991;2019;4;;;;;;;;;;;9;0;0;0;29;0;7;0;DDBAECABE;BABED9EEBDCCB99C99DCC9DBEAD9A;;;;;222;222.0;222.0;222.0;222.0;222.0;222.0;222.0;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;21;;;
2023;872;10;8;10028;6411;1;4106902;41;4;;;;;;;;;;;1991;2019;4;;;;;;;;;;;9;0;0;0;29;0;1;0;DDBAECABE;CEBECAD9AAABCCDCDDADECDBCCBEB;;;;;222;222.0;222.0;222.0;222.0;222.0;222.0;222.0;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;21;;;
2023;872;10;8;10028;6411;1;4106902;41;4;;;;;;;;;;;1991;2019;4;;;;;;;;;;;9;0;0;0;29;0;6;0;DDBAECABE;A9CC9ABBBBEDBCDCCD9AB9ECD9A9C;;;;;222;222.0;222.0;222.0;222.0;222.0;222.0;222.0;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;21;;;
2023;872;10;8;10028;6411;1;4106902;41;4;;;;;;;;;;;1991;2019;4;;;;;;;;;;;9;0;0;0;29;0;6;0;DDBAECABE;D9CBD9BBDB9CCDDDAEEEBC9AEC9D9;;;;;222;222.0;222.0;222.0;222.0;222.0;222.0;222.0;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;21;;;
2023;872;10;8;10028;6411;1;4106902;41;4;;;;;;;;;;;1991;2019;4;;;;;;;;;;;9;0;0;0;29;0;1;0;DDBAECABE;CEBECAD9AAABCCDCDDADECDBCCBEB;;;;;222;222.0;222.0;222.0;222.0;222.0;222.0;222.0;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;21;;;
2023;872;10;8;10028;6411;1;4106902;41;4;;;;;;;;;;;1991;2020;4;;;;;;;;;;;9;0;0;0;29;0;2;0;DDBAECABE;CBABBCCDEADB9BDBDA9EADEABCCCA;;;;;222;222.0;222.0;222.0;222.0;222.0;222.0;222.0;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;21;;;
